0,pnl,max_dd,dds
2024-01-01,-156,0.166,1
2024-01-03,105,0.166,1
2024-01-04,74,0.166,1
2024-01-05,10,0.166,1
2024-01-08,0,0.166,2
2024-01-09,-111,0.166,3
2024-01-10,-109,0.2568,4
2024-01-11,-145,0.4117,5
2024-01-12,148,0.4117,5
2024-01-15,92,0.4117,5
2024-01-16,-36,0.4117,6
2024-01-17,315,0.4117,6
2024-01-18,69,0.4117,6
2024-01-19,36,0.4117,6
2024-01-23,28,0.4117,6
2024-01-24,-418,0.4117,7
2024-01-25,-353,0.6201,8
2024-01-30,47,0.6201,8
2024-01-31,-186,0.7787,9
2024-02-01,268,0.7787,9
2024-02-02,4,0.7787,10
2024-02-05,-239,0.7787,11
2024-02-06,-111,0.8962,12
2024-02-07,-342,1.2473,13
2024-02-08,-13,1.2701,14
2024-02-09,-70,1.3498,15
2024-02-12,167,1.3498,15
2024-02-13,-21,1.3498,16
2024-02-14,75,1.3498,16
2024-02-15,-62,1.3498,17
2024-02-16,49,1.3498,17
2024-02-19,75,1.3498,17
2024-02-20,-193,1.3498,18
2024-02-21,116,1.3498,18
2024-02-22,198,1.3498,18
2024-02-23,-14,1.3498,19
2024-02-26,-47,1.3498,20
2024-02-27,178,1.3498,20
2024-02-28,-164,1.3498,21
2024-02-29,59,1.3498,21
2024-03-04,-2,1.3498,22
2024-03-05,-268,1.3621,23
2024-03-06,-129,1.5004,24
2024-03-07,96,1.5004,24
2024-03-11,83,1.5004,24
2024-03-12,31,1.5004,24
2024-03-13,280,1.5004,24
2024-03-14,-390,1.5004,25
2024-03-15,-232,1.6909,26
2024-03-18,99,1.6909,26
2024-03-19,14,1.6909,26
2024-03-20,36,1.6909,26
2024-03-21,103,1.6909,26
2024-03-22,171,1.6909,26
2024-03-26,42,1.6909,26
2024-03-27,-128,1.6909,27
2024-03-28,148,1.6909,27
2024-04-01,-28,1.6909,28
2024-04-02,10,1.6909,28
2024-04-03,-233,1.6909,29
2024-04-04,84,1.6909,29
2024-04-05,137,1.6909,29
2024-04-08,172,1.6909,29
2024-04-09,116,1.6909,29
2024-04-10,141,1.6909,29
2024-04-12,-151,1.6909,30
2024-04-15,209,1.6909,30
2024-04-16,83,1.6909,30
2024-04-18,212,1.6909,30
2024-04-19,-217,1.6909,31
2024-04-22,170,1.6909,31
2024-04-23,20,1.6909,31
2024-04-24,-103,1.6909,32
2024-04-25,40,1.6909,32
2024-04-26,-19,1.6909,33
2024-04-29,21,1.6909,33
2024-04-30,-18,1.6909,34
2024-05-02,151,1.6909,34
2024-05-03,-91,1.6909,35
2024-05-06,-80,1.6909,36
2024-05-07,53,1.6909,36
